name,color,category,breadcrumbs,description
Supernova+ Shoes,Black,Shoes,Men/Shoes,"The run really begins the moment you forget that you're running. These adidas shoes provide total comfort to help you free your mind. They're made with beginner runners in mind, with an engineered mesh upper that gives you targeted support and ventilation. A combination of Boost and Bounce in the midsole provides an ideal mix of energy return and spring."
ZX 8000 Shoes,Grey,Shoes,Men/Shoes,"The adidas ZX 8000 was at the pinnacle of running performance back in the '80s. Channeling the boundary breaking attitude of that OG pair, these shoes spin sport into fashion. Lace into the beloved, retro design and show off your adidas street cred. Boost cushioning and a Torsion bar provide comfort and stability."
EQ21 Run Shoes,White,Shoes,Men/Shoes,"When running is your sport, there's nothing you love more than that daily run. Log miles in ultimate comfort when you lace up in these adidas shoes. A breathable upper keeps feet feeling cool and fresh on warm days. Lightweight cushioning makes each step more enjoyable. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Superstar Mules,Beige,Shoes,Women/Shoes,"Reconstructed. Reimagined. Ever since they first stepped out onto the hardwood in the '70s, adidas Superstar shoes have been synonymous with boundary-breaking attitudes and evolving style. This pair honors that drive for progress with a sleek, slip-on design that keeps you decked out in bold, metallic style (without the need to lace up). So go ahead, slide in and head out. It's as easy as that."
Supernova+ Shoes,Grey,Shoes,Men/Shoes,"Take off. Touch down. Repeat. The process is simple, but not always easy. These adidas running shoes keep you comfortable from your first mile to your first race. The plus in the name refers to the extra Boost in the hybrid midsole, which gives this version of the Supernova more energy return. The engineered mesh upper provides support and ventilation where you need it most."
ZX 8000 Shoes,Green,Shoes,Men/Shoes,"The ZX 8000s have had collectors searching far and wide since their release in the mid 2000s. It's all part of the game, and now we're giving you a shortcut to win. The legendary adidas shoes are right here, right now, ready for your feet. No hunt required. They build on one of the most iconic colorways of the model's history, but with a twist, of course. The signature Torsion bar is still there, and the iconic heel TPU counter too. They wouldn't be part of the ZX thousand series without them."
Designed to Move High-Rise Sport Zebra 7/8 Tights,Blue,Clothing,Women/Clothing,"Lunge, twist and stretch through your full range of motion. These adidas training tights have a stretchy build that lets you move freely. The AEROREADY tights absorb moisture to keep you dry during rush hour at the gym. Tuck workout reminders into the back pocket where they're easy to access. 

This product is made with Primegreen, a series of high-performance recycled materials."
Superstar Mules,Black,Shoes,Women/Shoes,"Reconstructed. Reimagined. Ever since they first stepped out onto the hardwood in the '70s, adidas Superstar shoes have been synonymous with boundary-breaking attitudes and evolving style. This pair honors that drive for progress with a sleek, slip-on design that keeps you decked out in bold, metallic style (without the need to lace up). So go ahead, slide in and head out. It's as easy as that."
ZX 8000 Shoes,Yellow,Shoes,Men/Shoes,"The ZX 8000s have had collectors searching far and wide since their release in the mid 2000s. It's all part of the game, and now we're giving you a shortcut to win. The legendary adidas shoes are right here, right now, ready for your feet. No hunt required. They build on one of the most iconic colorways of the model's history, but with a twist, of course. The signature Torsion bar is still there, and the iconic heel TPU counter too. They wouldn't be part of the ZX thousand series without them."
ZX 8000 Shoes,Beige,Shoes,Men/Shoes,"The ZX 8000s have had collectors searching far and wide since their release in the mid 2000s. It's all part of the game, and now we're giving you a shortcut to win. The legendary adidas shoes are right here, right now, ready for your feet. No hunt required. They build on one of the most iconic colorways of the model's history, but with a twist, of course. The signature Torsion bar is still there, and the iconic heel TPU counter too. They wouldn't be part of the ZX thousand series without them."
Cropped Letter Hoodie,Black,Clothing,Women/Clothing,"Play up casual style with a bold adidas graphic. This cropped hoodie takes your look to the next level with collegiate block lettering on the raglan sleeves. Soft French terry keeps you comfortable all day. Pair with a denim skirt and platform shoes for an outfit that feels effortlessly cool. 

By buying cotton products from us, you're supporting more sustainable cotton farming. This product is made with recycled content as part of our ambition to end plastic waste."
Cropped Letter Hoodie,White,Clothing,Women/Clothing,"Play up casual style with a bold adidas graphic. This cropped hoodie takes your look to the next level with collegiate block lettering on the raglan sleeves. Soft French terry keeps you comfortable all day. Pair with a denim skirt and platform shoes for an outfit that feels effortlessly cool. 

By buying cotton products from us, you're supporting more sustainable cotton farming. This product is made with recycled content as part of our ambition to end plastic waste."
Primeblue Designed 2 Move Woven 3-Stripes Sport Shorts,Burgundy,Clothing,Women/Clothing,"Classic athletic shorts that are up for every kind of workout. Super breathable, with side slits for easy mobility. Perfect for a HIIT class or your circuit on the weight machines. Or basically whatever you're planning to do to get your sweat on today. AEROREADY absorbs moisture to keep you dry as your day heats up.

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic."
Trefoil Hoodie (Plus Size),Pink,Clothing,Women/Clothing,"Rooted firmly in our cultural consciousness, the Trefoil has been connected to some of the most era-defining moments of the last half-century. Record setters. Game changers. Rule breakers. In this adidas Trefoil Hoodie, what will you do? Make some noise? Shake things up? Or simply chill, hard. Because with the soft, snug feel, you'll be comfortable enough to do anything and everything."
Vintage Airliner Luxe Shopper Bag,Black,Accessories,Originals/Accessories,"Slouchy sweat pants or business wear? Whatever your travel attire, this adidas airliner bag adds sophistication to your look with a patent leather build and brand pride in three different languages. Carry handles and a shoulder strap offer versatile carry."
Adicolor Classics Long Sleeve Tee,Grey,Clothing,Women/Clothing,"Alongside the rich history of the 3-Stripes comes a love of sport culture. Bring your pride for the brand and what it represents with you into your day. Pull on this classic long sleeve t-shirt for a look rooted in adidas heritage. Soft cotton keeps you comfortable.

Our cotton products support sustainable cotton farming. This is part of our ambition to end plastic waste."
ZX 1K Boost Shoes,Beige,Shoes,Men/Shoes,"The ZX line pioneered a new approach to speed. It raised the bar in comfort and style. Now, it's taking on cool weather. Made with a winterized sole and suede overlays, these adidas shoes keep your stride steady and your feet warm as you cruise through chilly days in the city. Reflective details ensure your style always shines. Plus, double the comfort with EVA and Boost underfoot. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Santiago Lunch Bag,Black,Accessories,Training/Accessories,"Training takes work. Pack up this adidas lunch bag and keep your body refueled and recharged. Insulated to keep your lunch cool, it's got a roomy main pocket and a front pocket for easy access to snacks. A clip on the top lets you attach it to another bag so you never leave it behind. 

This product is made with recycled content as part of our ambition to end plastic waste."
Bra Top,Multicolor,Clothing,Women/Clothing,"What's better than a cherry on top? A literal cherry print on a top. The fresh, fun print from HER Studio London has a colorful, playful energy that will boost your confidence the moment you pull it on. Classic details root this bra top in adidas heritage for the perfect blend of sweet and sport.

This product is made with recycled content as part of our ambition to end plastic waste."
Waist Bag,Multicolor,Accessories,Women/Accessories,"Vintage dress paired with fresh sneakers? Yes, please. Your look is all about blending modern with vintage. Based on an iconic silhouette from the archive, this adidas waist bag remixes the past for today with a reimagined shape and a colorful, lenticular material. So go ahead, wear it on the front or back. Either way, the colors shift as they catch the light. 

This product is made with recycled content as part of our ambition to end plastic waste."
Adilette Comfort Slides,White,Shoes,Men/Shoes,Slip into these men's slides for easy-to-wear comfort. A contoured footbed features Cloudfoam Plus for a super-soft cushioned feel. The bandage-style upper features an adidas Badge of Sport that shows your brand love.
Santiago Lunch Bag,Grey,Accessories,Training/Accessories,"Training takes work. Pack up this adidas lunch bag and keep your body refueled and recharged. Insulated to keep your lunch cool, it's got a roomy main pocket and a front pocket for easy access to snacks. A clip on the top lets you attach it to another bag so you never leave it behind. 

This product is made with recycled content as part of our ambition to end plastic waste."
Adilette Comfort Slides,Black,Shoes,Kids/Shoes,"There's nothing complicated about these kids' adidas slides. Comfort and style go hand-in-hand in simple slip-on sandals that are perfect for a day at the pool, lounging at home or whatever other low-key plans your kid comes up with."
Originals x Kevin Lyons SST Set,Black,Clothing,Kids/Clothing,"Little ones have a knack for fearlessly being themselves. That's what the playful monsters on this toddlers' adidas set are all about. Created with NY-based illustrator Kevin Lyons, they burst with color as a celebration of your kiddo's curious mind and original spirit. The matching top and bottom make daily style easy so they can get dressed fast and start exploring the world. 

This product is made with Primegreen, a series of high-performance recycled materials."
Grand Court Shoes,White,Shoes,Men/Shoes,Tennis shoe style reached a pinnacle in the 1970s and has never looked back. Bring some heritage vibes to your daily-wear wardrobe with these adidas shoes. Coated leather is durable with a premium finish. The rubber outsole completes the throwback look.
adidas Sportswear Future Icons 3-Stripes Tee,White,Clothing,Men/Clothing,"It doesn't matter where you are. Your mind is always in the same place. Your dedication to sport is obvious, but this adidas t-shirt makes it even more clear with a flash of diagonal 3-Stripes across the sleeves. Whether you're in game-plan mode, celebrating after practice or just in total reset mode — the soft cotton material makes sure you stay comfortable."
Adicolor Snap Case iPhone X,Black,Accessories,Originals/Accessories,"An Originals-style classic done in flexible TPU, this phone case has a two-tone look. It has authentic adidas attitude with a contrast Trefoil logo on the front and a tonal primary color look."
Adilette Comfort Slides,Black,Shoes,Swim/Shoes,"These adidas slide-in sandals have looks so good you'll want to rock them for all-day wear, not just in the locker room. They're super comfortable thanks to the contoured footbed and cozy jelly bandage strap that keeps things in place. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester."
Samba shoes,Black,Shoes,Originals/Shoes,"This silhouette is a true reflection of sport meets style. Once an indoor football shoe, the model is now a timeless lifestyle icon. This colorway pairs minimal design with a subtle tie dye print across 3-Stripes branding and on the heel tab. ​

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content."
Adilette Shower Slides,Black,Shoes,Men/Shoes,"Slip on and go. These slides mix 3-Stripes style with a comfortable cloudfoam unitsole, which combines the midsole with the outsole for superior cushioning. Finished with a bold linear logo on the side."
Adicolor Snap Case iPhone X,Green,Accessories,Originals/Accessories,"An Originals-style classic done in flexible TPU, this phone case has a two-tone look. It has authentic adidas attitude with a contrast Trefoil logo on the front and a tonal primary color look."
Adilette Comfort Sandals,Pink,Shoes,Swim/Shoes,"Slide feet first into comfort. With a classic design, these adidas slides are the epitome of versatility and laid-back vibes. A contoured footbed delivers plush cushioning. A stylish bandage upper features adidas branding."
Grand Court Shoes,Green,Shoes,Men/Shoes,You don't have to be a tennis fan to love the sport's heritage style. These adidas shoes bring the iconic looks of the '70s to your modern everyday wardrobe. The leather upper is durable with a premium feel. The 3-Stripes complete the throwback vibe.
Adilette Shower Slides,Blue,Shoes,Men/Shoes,"Slip on and go. These slides mix 3-Stripes style with a comfortable cloudfoam unitsole, which combines the midsole with the outsole for superior cushioning. Finished with a bold linear logo on the side."
adidas Sportswear Future Icons Logo Graphic Tee,White,Clothing,Men/Clothing,"There are times to go hard, and then there are moments to give into the stillness. Both are a showcase of strength. Whatever the speed, this adidas t-shirt is down for it. Soft material hangs on the body with a loose, casual shape for total comfort. A logo graphic on the front puts your dedication on full display — not like it wasn't already clear."
Adilette Comfort Sandals,Blue,Shoes,Swim/Shoes,"Slide feet first into comfort. With a classic design, these adidas slides are the epitome of versatility and laid-back vibes. A contoured footbed delivers plush cushioning. A stylish bandage upper features adidas branding."
Samba OG Shoes,White,Shoes,Originals/Shoes,"You don't have to step out on the pitch to rock the clean, classic look of adidas Samba shoes. First designed as a grippy, cold-weather soccer shoe, today's Samba is just as much of an icon in the city as it was on the field back when. Throwback colors and lettering let you honor the original version every time you lace up."
Advantage Eco Shoes,White,Shoes,Men/Shoes,"Embrace your greener side. These tennis-inspired shoes have a clean, minimalist style that highlights their use of recycled materials. The speckled outsole owes its varied hues to the recycled PU pellets held within, giving new life to old things.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester."
Samba OG Shoes,White,Shoes,Originals/Shoes,"The original adidas Samba first hit the football pitch in 1950. Over the past 70 years, every generation has made these shoes their own. There's just something special about the low-profile shape and retro details. Of course, timeless doesn't mean static. This pair features fresh colors and graphics along the serrated 3-Stripes and heel tab. And the best part? It's designed with the future in mind.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester."
Classic Next Generation Athlete Backpack,Green,Accessories,Training/Accessories,"Train. Work. Chill. Create. All in a day's routine. With a roomy main compartment and lots of pockets, this adidas backpack keeps you on track and organized through your busy schedule. Durable ripstop stands up to wear and tear, and a padded laptop compartment gives you quick access to your technology. The drawcord-plus-flap closure ensures your valuables stay secure. 

This product is made with recycled content as part of our ambition to end plastic waste."
Real Madrid Scarf,White,Accessories,Soccer/Accessories,Soccer support with frills. Hold your club colors high with this adidas Real Madrid Scarf. It has traditional fringe on either end and the club's name and badge front and center. The soft knit fabric ensures you keep reaching for it well beyond match day.
Court Rallye Slip Shoes,Black,Shoes,Originals/Shoes,"Nothing says low-key like a slip-on. Clean, simple and packed with adidas Skateboarding DNA, these Court Rallye shoes are everything you need and nothing you don't. Their canvas upper feels extra comfy with a padded ankle collar, and the flexible vulcanized outsole grips city streets.

Our cotton products support more sustainable cotton farming."
Sport Duffel Bag,Burgundy,Accessories,Women/Accessories,"Grab your gear and go. This adidas duffel bag gives you plenty of room and pockets to organize and access your training essentials. Carry it two ways with a shoulder strap and handles. Adjust the straps and handles to make them more comfortable. Two-tone color keeps your look chic.

This product is made with Primegreen, a series of high-performance recycled materials."
Advantage Shoes,White,Shoes,Kids/Shoes,Comfort off the court. These kids' tennis-inspired shoes have a smooth leather-like upper with perforated 3-Stripes. A plush sockliner cushions their every step.
Classic Next Generation Athlete Backpack,Black,Accessories,Training/Accessories,"Train. Work. Chill. Create. All in a day's routine. With a roomy main compartment and lots of pockets, this adidas backpack keeps you on track and organized through your busy schedule. Durable ripstop stands up to wear and tear, and a padded laptop compartment gives you quick access to your technology. The drawcord-plus-flap closure ensures your valuables stay secure. 

This product is made with recycled content as part of our ambition to end plastic waste."
OZWEEGO Shoes,White,Shoes,Women/Shoes,"No need to announce your arrival when you have these adidas OZWEEGO Shoes laced on. Their bold, bulky build does all the talking for you. The retro-inspired sneakers also go ahead and take care of your comfort, kindly provided by the dreamy Adiprene cushioning and an EVA midsole."
Court Rallye Slip Shoes,Black,Shoes,Originals/Shoes,"Nothing says low-key like a slip-on. Clean, simple and packed with adidas Skateboarding DNA, these Court Rallye shoes are everything you need and nothing you don't. Their canvas upper feels extra comfy with a padded ankle collar, and the flexible vulcanized outsole grips city streets.

Our cotton products support more sustainable cotton farming."
Nizza Shoes,White,Shoes,Men/Shoes,"Slam dunk your street style. These adidas Nizza Shoes are a reissue of the classic 1978 B-ball trainers. The canvas upper keeps it real, and real soft. The signature toe bumper polishes off the look. Game on."
OZWEEGO Shoes,Black,Shoes,Women/Shoes,"No need to announce your arrival when you have these adidas OZWEEGO Shoes laced on. Their bold, bulky build does all the talking for you. The retro-inspired sneakers also go ahead and take care of your comfort, kindly provided by the dreamy Adiprene cushioning and an EVA midsole."
Adilette Aqua Slides,Blue,Shoes,Women/Shoes,An iconic style for slick surfaces. These quick-drying slides flash 3-Stripes across the bandage-style upper. Plush cushioning in the footbed provides the ultimate in comfort in and out of the shower.
Grand Court Shoes,Grey,Shoes,Kids/Shoes,A modern update to '70s style. These court-inspired shoes have a smooth leather-like upper with contrast 3-Stripes. A lightweight sockliner provides comfort as they take on their day.
Adilette Aqua Slides,Pink,Shoes,Women/Shoes,An iconic style for slick surfaces. These quick-drying slides flash 3-Stripes across the bandage-style upper. Plush cushioning in the footbed provides the ultimate in comfort in and out of the shower.
Advantage Shoes,White,Shoes,Kids/Shoes,Comfort off the court. These kids' tennis-inspired shoes have a smooth leather-like upper with perforated 3-Stripes. A plush sockliner cushions their every step.
Hoops 2.0 Mid Shoes,Black,Shoes,Kids/Shoes,"Built for the hardwood, ready for the playground. These kids' shoes bring a basketball-inspired style to active little feet. Made with a leather-like upper, the mid-cut design adds extra support. Contrast 3-Stripes stand out on the sides."
Climacool Vento Shoes,White,Shoes,Running/Shoes,"Don't shrink away from the sun. Harness its energy as you hit the pavement in these adidas running shoes. The super breathable mesh upper with HEAT.RDY maximizes airflow so you stay cool and ventilated even when the temperature rises and the heat builds. Segmented Boost cushioning returns energy with every take-off and landing, keeping your legs fresh and your mind free to focus on the clear blue skies."
Adilette Aqua Slides,White,Shoes,Swim/Shoes,"Rinse off after the pool in these shower-friendly sandals. Keeping it simple, the smooth slip-ons reveal their adidas DNA with signature 3-Stripes. Soft cushioning rewards tired feet with plush comfort."
Adilette Aqua Slides,Blue,Shoes,Women/Shoes,An iconic style for slick surfaces. These quick-drying slides flash 3-Stripes across the bandage-style upper. Plush cushioning in the footbed provides the ultimate in comfort in and out of the shower.
Court Rallye Slip Shoes,White,Shoes,Originals/Shoes,"Nothing says low-key like a slip-on. Clean, simple and packed with adidas Skateboarding DNA, these Court Rallye shoes are everything you need and nothing you don't. Their canvas upper feels extra comfy with a padded ankle collar, and the flexible vulcanized outsole grips city streets.

Our cotton products support more sustainable cotton farming."
Court Rallye Slip Shoes,Black,Shoes,Originals/Shoes,"Nothing says low-key like a slip-on. Clean, simple and packed with adidas Skateboarding DNA, these Court Rallye shoes are everything you need and nothing you don't. Their canvas upper feels extra comfy with a padded ankle collar, and the flexible vulcanized outsole grips city streets.

Our cotton products support more sustainable cotton farming."
Climacool Vento Shoes,Blue,Shoes,Running/Shoes,"Running isn't without its challenges, no matter where you're at. That's what makes the little victories so much sweeter. Whatever comes up, push through in these adidas Vento Shoes with HEAT.RDY. The highly breathable mesh upper and vents in the midsole circulate airflow to balance the building heat. Boost cushioning energizes your stride and takes comfort to the next level. Something you know all about.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Climacool Vento Shoes,Black,Shoes,Running/Shoes,"Don't shrink away from the sun. Harness its energy as you hit the pavement in these adidas running shoes. The super breathable mesh upper with HEAT.RDY maximizes airflow so you stay cool and ventilated even when the temperature rises and the heat builds. Segmented Boost cushioning returns energy with every take-off and landing, keeping your legs fresh and your mind free to focus on the clear blue skies."
How We Do Long Tights,Grey,Clothing,Women/Clothing,"Pull on your adidas super suit and fly through your city. The first piece you pull out of your closet and the last piece you take off, the staple piece of every run are the tights. Regulate temperature throughout your workout with moisture-wicking fabric. Mesh inserts in sensitive heat zones increase airflow."
Comfort Flip-Flops,White,Shoes,Women/Shoes,"Enjoy sunny days in the sand or on the pool deck. These thong sandals pamper your feet with a plush, quick-drying footbed. A rugged outsole delivers durability while the contrasting 3-Stripes provide a sporty look."
Classic Superlite Super-No-Show Socks 6 Pairs,Multicolor,Accessories,Men/Accessories,"No bunching. No slipping. No showing. Keep these adidas socks right where you want them, and enjoy dry, comfy feet all day. When you finally kick off your shoes, you'll be rewarded with the sight of a Trefoil logo and the knowledge that you have five more clean pairs to choose from for tomorrow."
Trefoil Superlite Super-No-Show Socks 6 Pairs,White,Accessories,Women/Accessories,"So lightweight, they're barely there. Splashed with pastel colors, this six-pack of adidas socks offers up an easy footwear choice nearly every day of the week. Ribbed cuffs ensure a stay-put fit. A super-no-show design means they won't peek out over your shoes."
Supernova Shoes,White,Shoes,Men/Shoes,"Your run starts before your feet even hit the pavement. With a spark, a goal or a desire to be your best self. Lace into these adidas running shoes and the run starts now. High-performance elements like responsive cushioning and supportive overlays keep you cruising in comfort. The breathable, seamless upper means cool feet even when you ramp up the speed."
adidas Adicolor Trefoil Hoodie,Red,Clothing,Women/Clothing,"Which color tells your story best? Rooted in our heritage of sport, Adicolor is iconic adidas style in a spectrum of shades. This hoodie puts the spotlight on the Trefoil logo. French terry fabric is everyday-level cozy."
Superlite Super-No-Show Socks 6 Pairs,Multicolor,Accessories,Women/Accessories,"Refresh your sock drawer. These adidas socks work well for training sessions and everyday wear. The fabric is lightweight and ventilated, so you stay comfortable all day. The super-no-show length hides away inside trainers."
Superlite Super-No-Show Socks 6 Pairs,White,Accessories,Women/Accessories,"Refresh your sock drawer. These adidas socks work well for training sessions and everyday wear. The fabric is lightweight and ventilated, so you stay comfortable all day. The super-no-show length hides away inside trainers."
Adilette Boost Slides,Blue,Shoes,Swim/Shoes,"Transition from sandy beaches to busy streets in premium comfort all summer long. These slides feature a full-length, energy-returning midsole that cradles your foot with supreme cushioning. Classic 3-Stripes on the bandage-style upper show off your adidas style."
adidas Adicolor Trefoil Hoodie,Pink,Clothing,Women/Clothing,"Which color tells your story best? Rooted in our heritage of sport, Adicolor is iconic adidas style in a spectrum of shades. This hoodie puts the spotlight on the Trefoil logo. French terry fabric is everyday-level cozy."
Supernova Tokyo Shoes,White,Shoes,Men/Shoes,"Your run starts before your feet even hit the pavement. With a spark, a goal or a desire to be your best self. Lace into these adidas running shoes and the run starts now. High-performance elements like responsive cushioning and supportive overlays keep you cruising in comfort. The breathable, seamless upper means your feet stay cool even when you ramp up your speed.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Supernova Shoes,White,Shoes,Men/Shoes,"Check your goals off your list one by one. These adidas running shoes are made for chasing down PRs one run at a time. Responsive Boost in the forefoot and heel combines with springy Bounce for a balanced and energized ride. It's time to exceed your own expectations. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content."
Stretch Cotton Boxer Briefs 3 Pairs,Blue,Clothing,Men/Clothing,"Little comforts make a big difference. Just look at these adidas boxer briefs. They're made with soft, quick-dry fabric that keeps you feeling fresh and a stay-put design that keeps you covered from your first rep to your last. Get comfortable and give it your all.

Our cotton products support sustainable cotton farming. This is part of our ambition to end plastic waste."
Trefoil Backpack,Black,Accessories,Originals/Accessories,"You're all about the Trefoil. Now, so is your backpack, thanks to bold adidas branding. And behind that big, beautiful icon? Plenty of space to hold everything from laptop to earbuds.

This product is made with recycled content as part of our ambition to end plastic waste."
Supernova Shoes,Blue,Shoes,Women/Shoes,"Your run starts before your feet even hit the pavement. With a spark, a goal or a desire to be your best self. Lace into these adidas running shoes and the run starts now. High-performance elements like responsive cushioning and supportive overlays keep you cruising in comfort. The breathable, seamless upper means your feet stay cool even when you ramp up your speed.

This product is made with Primegreen, a series of high-performance recycled materials."
Supernova Shoes,Grey,Shoes,Women/Shoes,Check your goals off your list one by one. These adidas running shoes are made for chasing down PRs one run at a time. Responsive Boost in the forefoot and heel combines with springy Bounce for a balanced and energized ride. It's time to exceed your own expectations.
Sport Waist Pack,Blue,Accessories,Originals/Accessories,Keys? Check. Phone? Check. Headphones? Yep. They're all packed away in this adidas pack with individual spaces for them all. Strap it around the waist or sling it across the chest. Either way you'll be hands free.
Superstar Shoes,White,Shoes,Men/Shoes,"An ever-evolving icon, the adidas Superstar shoe is shaped by everyone who wears it. It can be endlessly redefined. Forever refreshed. How will you wear yours? No need to answer. Lace in and get to it. Reinvented with a semi-translucent sole and color-shifting print, this pair stands out with striking style that moves and shifts as you do. The rubber shell-toe cap stays iconic. You'll definitely want to show them off.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Stretch Cotton Boxer Briefs 3 Pairs,Grey,Clothing,Men/Clothing,"Little comforts make a big difference. Just look at these adidas boxer briefs. They're made with soft, quick-dry fabric that keeps you feeling fresh and a stay-put design that keeps you covered from your first rep to your last. Get comfortable and give it your all.

Our cotton products support sustainable cotton farming. This is part of our ambition to end plastic waste."
Believe This Solid 7/8 Tights​ (Plus Size),Grey,Clothing,Women/Clothing,"Snug as a second skin, these will make a great addition to your exercise ensemble.​

Designed to hug naturally around your body, these versatile tights are made of stretchy material that provides support and keeps you moving through any workout.

The soft, wide waistband allows for a flattering fit and eliminates irritations such as rolling or digging into your skin during exercises. Perform your forward fold or set of crunches with complete confidence.​"
Hoodie,Green,Clothing,Originals/Clothing,"Here's the thing about options: They're good to have. This adidas hoodie gives you plenty. At first glance, it's pure sweatshirt vibes in soft French terry. But the zip on the side changes that. It extends all the way from the hem, up the side and down the sleeve. Zip it up or leave it open to create a statement look."
Trefoil Backpack,Multicolor,Accessories,Originals/Accessories,"You're all about the Trefoil. Now, so is your backpack, thanks to bold adidas branding. And behind that big, beautiful icon? Plenty of space to hold everything from laptop to earbuds.

This product is made with recycled content as part of our ambition to end plastic waste."
Techfit Tights,Red,Clothing,Kids/Clothing,"You've got big goals. These juniors' training tights help you achieve them. Techfit hugs your muscles for a supportive feel. adidas AEROREADY wicks moisture to keep you dry as you raise the intensity. 

This product is made with Primegreen, a series of high-performance recycled materials."
Supernova Shoes,White,Shoes,Women/Shoes,"Check your goals off your list one by one. These adidas running shoes are made for chasing down PRs one run at a time. Responsive Boost in the forefoot and heel combines with springy Bounce for a balanced and energized ride. It's time to exceed your own expectations.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Supernova Tokyo Shoes,White,Shoes,Women/Shoes,"Your run starts before your feet even hit the pavement. With a spark, a goal or a desire to be your best self. Lace into these adidas running shoes and the run starts now. High-performance elements like responsive cushioning and supportive overlays keep you cruising in comfort. The breathable, seamless upper means your feet stay cool even when you ramp up your speed.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Techfit Tights,White,Clothing,Kids/Clothing,"You've got big goals. These juniors' training tights help you achieve them. Techfit hugs your muscles for a supportive feel. adidas AEROREADY wicks moisture to keep you dry as you raise the intensity. 

This product is made with Primegreen, a series of high-performance recycled materials."
Superstar Shoes,White,Shoes,Men/Shoes,"Hardwood hero. Cultural icon. Closet staple. The adidas Superstar shoes are all those things and more. In the decades since their B-ball debut, these kicks have played a part in millions of lives around the world, telling a unique story with every person who wears them. Celebrating the heritage, this pair shines with a minimalist look. Made of premium leather and nubuck, in off-white tones with pops of vintage blue. A rubber shell toe caps off the legendary style.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Superlite Low-Cut Socks 6 Pairs,Multicolor,Accessories,Men/Accessories,"Stay dry through your workout in these training socks. The moisture-wicking fabric is thin and light, giving them a barely there feel. With the low-cut length, the adidas Badge of Sport peeks out just above your trainers."
Supernova Shoes,Black,Shoes,Women/Shoes,Check your goals off your list one by one. These adidas running shoes are made for chasing down PRs one run at a time. Responsive Boost in the forefoot and heel combines with springy Bounce for a balanced and energized ride. It's time to exceed your own expectations.
Supernova Shoes,Purple,Shoes,Women/Shoes,"Your run starts before your feet even hit the pavement. With a spark, a goal or a desire to be your best self. Lace into these adidas running shoes and the run starts now. High-performance elements like responsive cushioning and supportive overlays keep you cruising in comfort. The breathable, seamless upper means your feet stay cool even when you ramp up your speed.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Comfort Flip-Flops,Black,Shoes,Men/Shoes,Wear them all summer from the pool to the beach. These sandals combine rugged durability with quick-drying step-in cushioning as you spend your day in comfortable bliss. Heritage details show off your adidas inspiration.
Superlite Super-No-Show Socks 6 Pairs,Multicolor,Accessories,Women/Accessories,"Refresh your sock drawer. These adidas socks work well for training sessions and everyday wear. The fabric is lightweight and ventilated, so you stay comfortable all day. The super-no-show length hides away inside trainers."
Colorwash No-Show Socks 3 Pairs,Multicolor,Accessories,Women/Accessories,"Keep things colorful, all the way down to your toes. This three-pack of adidas socks is constructed using colorwash dye to make each pair look unique. Super-lightweight and moisture-absorbing, they're extra-comfortable when you're on the go."
Sport Stripe High Quarter Socks 3 Pairs,White,Accessories,Women/Accessories,"When was the last time you said thanks to your feet? Show 'em some appreciation in these cushioned adidas socks. Arch compression and moisture-wicking yarn keep your feet comfy, so you can squat and lunge with ease. Who knows, at the end of the day, your feet might be the ones thanking you."
3-Stripes Crew Socks 3 Pairs,Grey,Accessories,Women/Accessories,"Jumping jacks on a hard gym floor or weighted runs around the block, cushion your stride with these adidas socks no matter what your workout requires. Arch compression and a cushioned footbed keep your feet comfy, while moisture-wicking yarn helps manage sweat."
Essentials Backpack,Red,Accessories,Training/Accessories,"Grab your gear and go. The ideal size for your post-workout essentials, this adidas backpack has a roomy main compartment plus dedicated water bottle pockets. Throw it over your shoulders or carry it by the top handles, either way, your adidas love shines from every angle thanks to the contrast 3-Stripes."
